date,open,high,low,close,volume
2000-01-04,4192.6,4269.4644,3955.0194,4269.4644,74195000.0
2000-01-05,4052.8471,4234.5264,3857.1924,3899.1184,74680000.0
2000-01-06,4017.9083,4038.8713,3899.1179,3927.0686,54390000.0
2000-01-07,3885.1435,3962.0079,3745.3902,3871.1682,40305000.0
2000-01-10,3913.0942,4031.8845,3899.1188,4031.8845,46880000.0
2000-01-11,4066.8229,4262.4776,4031.8845,4031.8845,59745000.0
2000-01-12,3920.0822,4010.9219,3913.0945,3996.9465,29220000.0
2000-01-13,3913.0941,4010.9215,3885.1435,3989.9585,41190000.0
2000-01-14,3996.9462,4108.7489,3968.9955,4073.8105,49375000.0
2000-01-17,4192.6009,4318.3789,4136.6995,4262.4775,63505000.0
2000-01-18,4304.4035,4304.4035,4178.6255,4262.4775,45260000.0
2000-01-19,4192.5996,4220.5503,4164.6489,4164.6489,40205000.0
2000-01-20,4094.7718,4220.5498,4066.8212,4220.5498,37315000.0
2000-01-21,4157.6627,4178.6257,4108.749,4108.749,32535000.0
2000-01-24,4052.8481,4122.7248,3982.9714,3982.9714,34355000.0
2000-01-25,3857.1936,3941.0456,3801.2922,3801.2922,44250000.0
2000-01-26,3843.2175,3857.1929,3780.3285,3829.2422,29285000.0
2000-01-27,3829.2403,3927.0676,3794.3019,3857.1909,27900000.0
2000-01-28,3941.0445,4108.7485,3871.1678,4066.8225,38315000.0
2000-01-31,3941.0444,4003.9334,3885.1431,3899.1184,39630000.0
2000-02-01,3913.0936,3968.995,3675.513,3717.439,71470000.0
2000-02-02,3647.5636,3752.3786,3570.6992,3668.5266,64105000.0
2000-02-03,3668.5253,3815.2664,3472.8707,3584.6733,142765000.0
2000-02-04,3584.6733,3584.6733,3584.6733,3584.6733,0.0
2000-02-07,3591.6602,3724.4259,3521.7835,3661.5369,64140000.0
2000-02-08,3731.4135,3829.2408,3710.4505,3794.3025,58460000.0
2000-02-09,3885.1438,3996.9465,3829.2425,3996.9465,51050000.0
2000-02-10,3955.0174,4108.746,3913.0914,4024.894,61845000.0
2000-02-11,4164.6508,4164.6508,3968.9961,3982.9714,34660000.0
2000-02-14,3913.0929,3955.0189,3731.4136,3759.3643,44140000.0
2000-02-15,3759.3657,3787.3164,3591.6616,3633.5876,38315000.0
2000-02-16,3619.612,3633.5873,3340.1053,3493.834,73115000.0
2000-02-17,3451.9075,3563.7102,3430.9445,3549.7349,65185000.0
2000-02-18,3752.377,3934.0564,3605.636,3703.4634,108750000.0
2000-02-21,3633.587,3675.513,3514.7966,3542.7473,26485000.0
2000-02-22,3493.8331,3661.5371,3493.8331,3577.6851,24180000.0
2000-02-23,3647.561,3675.5116,3563.709,3591.6597,27720000.0
